1_1052	4_1208	166	84.31
1_1052	5_864	194	98.04
1_1053	2_1576	523	100
1_1053	3_941	523	100
1_1053	4_1209	487	92.99
1_1053	5_865	509	95.94
1_1054	2_1575	471	100
1_1054	3_942	471	100
1_1054	4_1210	390	81.78
1_1054	5_866	417	88.19
1_1055	2_1574	456	100
1_1055	3_943	456	100
1_1055	4_1211	435	94.59
1_1055	5_867	437	94.14
1_1056	2_1573	796	100
1_1056	3_944	796	100
1_1056	4_1212	740	92.17
1_1056	5_868	701	85.1
1_1057	2_1572	482	100
1_1057	3_945	482	100
1_1057	4_1213	464	92.46
1_1057	5_869	429	89.3
1_1058	2_1571	908	100
1_1058	3_946	904	99.35
1_1058	4_1214	812	89.22
1_1058	5_870	846	89.35
1_1059	2_1570	2050	100
1_1059	3_947	2047	99.81
1_1059	4_1216	1986	95.85
1_1059	5_871	1962	94.43
1_106	2_1075	940	100
1_106	3_1842	938	99.79
1_106	4_253	901	89
1_106	5_1237	849	87.98
1_1060	2_1569	887	100
1_1060	3_948	884	99.56
1_1060	4_1217	814	91.39
1_1060	5_872	819	92.72
1_1061	2_1568	1061	100
1_1061	3_949	1060	99.81
1_1061	4_1218	1017	94.58
1_1061	5_873	998	92.9
1_1062	2_1567	285	100
1_1062	3_950	285	100
1_1062	4_1219	283	99.31
1_1062	5_874	281	98.61
1_1063	2_1566	442	100
1_1063	3_951	442	100
1_1063	4_1220	441	99.57
1_1063	5_875	431	96.96
1_1064	2_1565	330	100
1_1064	3_952	330	100
1_1064	4_1221	327	98.85
1_1064	5_876	329	99.43
1_1065	2_1564	232	100
1_1065	3_953	232	100
1_1065	4_1222	228	98.39
1_1065	5_877	225	95.97
1_1066	2_1563	2743	100
1_1066	3_954	2742	99.93
1_1066	4_1223	2727	99.21
1_1066	5_878	2711	98.56
1_1067	2_1562	2827	100
1_1067	3_955	2827	100
1_1067	4_1224	2798	98.82
1_1067	5_879	2795	98.61
1_1068	2_1561	250	100
1_1068	3_956	250	100
1_1068	4_1225	250	100
1_1068	5_880	250	100
1_1069	2_1560	313	100
1_1069	3_957	313	100
1_1069	4_1226	313	100
1_1069	5_881	313	100
1_107	2_1076	271	100
1_107	3_1841	268	99.25
1_107	4_254	186	68.42
1_107	5_1238	183	66.92
1_1070	2_1559	784	100
1_1070	3_958	784	100
1_1070	4_1227	780	99.49
1_1070	5_882	782	99.75
1_1071	2_1558	204	100
1_1071	3_959	204	100
1_1071	4_1228	204	100
1_1071	5_883	204	100
1_1072	2_1557	447	100
1_1072	3_960	445	99.56
1_1072	4_1229	442	98.68
1_1072	5_884	441	98.24
1_1073	2_1556	398	100
1_1073	3_961	398	100
1_1073	4_1230	385	95.59
1_1073	5_885	384	96.08
1_1074	2_1555	186	100
1_1074	3_962	186	100
1_1074	4_1231	182	97.96
1_1074	5_886	186	100
1_1075	2_1554	571	100
1_1075	3_963	571	100
1_1075	4_1232	571	100
1_1075	5_887	570	99.64
1_1076	2_1553	194	100
1_1076	3_964	194	100
1_1076	4_1233	194	100
1_1076	5_888	194	100
1_1077	2_1552	267	100
1_1077	3_965	267	100
1_1077	4_1234	267	100
1_1077	5_889	265	99.29
1_1078	2_1551	446	100
1_1078	3_966	446	100
1_1078	4_1235	444	99.11
1_1078	5_890	445	99.56
1_1079	2_1550	275	100
1_1079	3_967	275	100
1_1079	4_1236	275	100
1_1079	5_891	275	100
1_108	2_1077	1823	100
1_108	3_1840	1815	99.57
1_108	4_255	1427	80.72
1_108	5_1239	1464	81.59
1_1080	2_1549	145	100
1_1080	3_968	145	100
1_1080	4_1237	142	97.44
1_1080	5_892	141	96.15
1_1081	2_1548	182	100
1_1081	3_969	182	100
1_1081	4_1238	179	97.8
1_1081	5_893	177	95.6
1_1082	2_1547	237	100
1_1082	3_970	237	100
1_1082	4_1239	237	100
1_1082	5_894	237	100
1_1083	2_1546	206	100
1_1083	3_971	206	100
1_1083	4_1240	205	99.06
1_1083	5_895	205	98.11
1_1084	2_1545	367	100
1_1084	3_972	366	99.47
1_1084	4_1241	365	98.94
1_1084	5_896	365	98.94
1_1085	2_1544	200	100
1_1085	3_973	200	100
1_1085	4_1242	200	100
1_1085	5_897	197	99.01
1_1086	2_1543	259	100
1_1086	3_974	259	100
1_1086	4_1243	259	100
1_1086	5_898	257	99.24
1_1087	2_1542	358	100
1_1087	3_975	358	100
1_1087	4_1244	356	98.88
1_1087	5_899	358	99.44
1_1088	2_1541	228	100
1_1088	3_976	228	100
1_1088	4_1245	225	98.33
1_1088	5_900	224	98.33
1_1089	2_1540	368	100
1_1089	3_977	368	100
1_1089	4_1246	363	98.41
1_1089	5_901	368	100
1_109	2_1078	536	100
1_109	3_1839	534	99.64
1_109	4_256	473	87.41
1_109	5_1240	484	86.51
1_1090	2_1539	122	100
1_1090	3_978	122	100
1_1090	4_1247	119	98.41
1_1090	5_902	119	98.41
1_1091	2_1538	311	100
1_1091	3_979	311	100
1_1091	4_1248	297	95.06
1_1091	5_903	306	98.15
1_1092	2_1537	894	100
1_1092	3_980	894	100
1_1092	4_1249	869	96.94
1_1092	5_904	880	98.03
1_1094	2_1535	214	79.1
1_1094	3_982	267	100
1_1094	4_1251	214	79.1
1_1094	5_906	248	92.54
1_1095	2_1534	257	100
1_1095	3_983	257	100
1_1095	4_1252	257	100
